gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,target,average score,score variance,strongest subject,weakest subject,parent_education_level,is_test_prepared,is_lunch_free,study_hours_per_week,attendance_rate,internet_access,school_support,past_failures,risk_factor,final_prediction_score
female,group C,associate's degree,free/reduced,none,54,58,61,57.66666666666666,Fail,57.666666666666664,12.333333333333332,writing score,math score,4,0,1,7.6090734979503605,83.45023918623637,1,0,0,0.8309952162752725,0.6573901350635003
male,group D,high school,standard,none,66,69,63,66.0,Pass,66.0,9.0,reading score,writing score,2,0,0,5.5827681183018285,82.61142905133643,1,1,3,4.347771418973272,0.5198809389838761
female,group B,some college,free/reduced,completed,65,75,70,70.0,Pass,70.0,25.0,reading score,math score,3,1,1,15.465274331077252,92.48453844839284,1,1,3,2.650309231032143,0.6424093562923776
male,group D,some college,standard,none,44,54,53,50.333333333333336,Fail,50.333333333333336,30.333333333333336,reading score,math score,3,0,0,7.824126707447177,82.12717812112054,1,0,0,1.3574564375775893,0.5767391848916029
female,group C,some high school,standard,none,69,73,73,71.66666666666667,Pass,71.66666666666667,5.333333333333334,reading score,math score,1,0,0,3.26231478018682,80.5846883418753,0,0,1,3.388306233162494,0.6129783837389238
male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,Pass,75.0,21.0,writing score,reading score,5,1,1,19.710580320380586,94.83346560442205,1,0,0,0.0,0.825
male,group A,master's degree,free/reduced,none,73,74,72,73.0,Pass,73.0,1.0,reading score,writing score,6,0,1,12.492820553775791,85.89279259351905,0,0,0,0.0,0.8109999999999999
male,group B,some college,standard,none,69,54,55,59.333333333333336,Fail,59.333333333333336,70.33333333333334,math score,reading score,3,0,0,8.357516398763154,84.02272613120873,1,0,1,2.3195454773758257,0.5861622894013468
female,group C,bachelor's degree,standard,none,67,69,75,70.33333333333333,Pass,70.33333333333333,17.333333333333332,writing score,math score,5,0,0,11.039024669735092,83.60619348223032,1,0,0,0.32787613035539354,0.7740745397673194
male,group C,high school,standard,none,70,70,65,68.33333333333333,Pass,68.33333333333333,8.333333333333332,math score,writing score,2,0,0,5.823177388005043,81.7619825473368,1,1,2,3.364760349053264,0.5909562755832625
female,group D,master's degree,standard,none,62,70,75,69.0,Pass,69.0,43.0,writing score,math score,6,0,0,7.439986118772736,87.85043443336215,1,0,0,0.0,0.7829999999999999
female,group D,some college,standard,none,69,74,74,72.33333333333333,Pass,72.33333333333333,8.333333333333332,reading score,math score,3,0,0,6.921057790502292,83.97087083224692,1,1,0,0.8205825833550617,0.7606366613093402
female,group B,some college,standard,none,63,65,61,63.0,Pass,63.0,4.0,reading score,writing score,3,0,0,3.023577689479147,82.6538332279363,0,0,2,3.346923335441274,0.5546162513664621
female,group E,master's degree,free/reduced,none,56,72,65,64.33333333333333,Pass,64.33333333333333,64.33333333333334,reading score,math score,6,0,1,12.674027137172057,85.75474413972009,1,1,2,1.2849051172055983,0.678779428931869
male,group D,some college,standard,none,40,42,38,40.0,Fail,40.0,4.0,reading score,writing score,3,0,0,7.976264068720738,82.40985767254784,0,0,0,1.351802846549043,0.5047206892116998
male,group E,some college,standard,none,97,87,82,88.66666666666667,Pass,88.66666666666667,58.33333333333334,math score,writing score,3,0,0,6.835430214049819,84.29766463525793,1,1,0,0.8140467072948414,0.8753339650592673
male,group E,associate's degree,standard,completed,81,81,79,80.33333333333333,Pass,80.33333333333333,1.3333333333333335,math score,writing score,4,1,0,21.4659462655491,92.47457506296632,1,0,1,0.6505084987406735,0.8261077612596077
female,group D,associate's degree,standard,none,74,81,83,79.33333333333333,Pass,79.33333333333333,22.333333333333332,writing score,math score,4,0,0,5.940884641174085,85.73499769200588,0,0,0,0.7853000461598825,0.8116014782127046
female,group D,some high school,free/reduced,none,50,64,59,57.66666666666666,Fail,57.666666666666664,50.333333333333336,reading score,math score,1,0,1,2.2588489341875913,81.18386645183534,1,0,3,5.376322670963293,0.4042695568892784
female,group D,associate's degree,free/reduced,completed,75,90,88,84.33333333333333,Pass,84.33333333333333,66.33333333333334,reading score,math score,4,1,1,15.766957227131089,94.12628861074693,1,0,2,1.6174742277850616,0.800259292287822
male,group B,associate's degree,free/reduced,none,57,56,57,56.66666666666666,Fail,56.666666666666664,0.33333333333333337,math score,reading score,4,0,1,8.32512070033519,82.13063624313799,1,0,0,0.8573872751372402,0.6489204118664489
male,group C,associate's degree,free/reduced,none,55,61,54,56.66666666666666,Fail,56.666666666666664,14.333333333333336,reading score,writing score,4,0,1,10.673142251826679,83.90238476728803,1,0,0,0.8219523046542394,0.6508937174875858
female,group C,associate's degree,standard,none,58,73,68,66.33333333333333,Pass,66.33333333333333,58.33333333333334,reading score,math score,4,0,0,6.672949036149015,83.63099242001093,0,0,0,0.8273801515997814,0.7182581177563323
female,group B,associate's degree,standard,none,53,58,65,58.66666666666666,Fail,58.666666666666664,36.333333333333336,writing score,math score,4,0,0,9.633273268927999,82.64487524790049,0,1,2,2.34710249504199,0.5799610252136099
male,group B,some college,free/reduced,completed,59,65,66,63.333333333333336,Pass,63.333333333333336,14.333333333333336,writing score,math score,3,1,1,15.992384776604084,93.46922881050197,1,0,0,0.13061542378996052,0.7360596106108732
female,group E,associate's degree,free/reduced,none,50,56,54,53.333333333333336,Fail,53.333333333333336,9.333333333333334,reading score,math score,4,0,1,6.83232546773616,85.88460362947315,1,0,0,0.7823079274105371,0.6297681035736604
male,group B,associate's degree,standard,none,65,54,57,58.66666666666666,Fail,58.666666666666664,32.333333333333336,math score,reading score,4,0,0,10.888350542297816,84.2487552442581,0,1,0,0.3150248951148379,0.693123533771258
female,group A,associate's degree,standard,completed,55,65,62,60.66666666666666,Pass,60.666666666666664,26.333333333333336,reading score,math score,4,1,0,18.38357527982546,94.85901310577579,1,0,0,0.0,0.7246666666666666
female,group C,high school,standard,none,66,71,76,71.0,Pass,71.0,25.0,writing score,math score,2,0,0,3.414307521877136,81.13690090513204,0,0,0,1.8772619818973593,0.6924588766201532
female,group D,associate's degree,free/reduced,completed,57,74,76,69.0,Pass,69.0,109.0,writing score,math score,4,1,1,21.312422562075795,93.67066798326798,1,0,0,0.0,0.7829999999999999
male,group C,high school,standard,completed,82,84,82,82.66666666666667,Pass,82.66666666666667,1.3333333333333335,reading score,math score,2,1,0,13.009201727280963,91.232716970329,1,1,2,2.17534566059342,0.7575258342783906
male,group E,some college,standard,none,53,55,48,52.0,Fail,52.0,13.0,reading score,writing score,3,0,0,6.386754212403341,83.33838750660954,1,1,2,2.8332322498678093,0.5062227238108602
male,group E,associate's degree,free/reduced,completed,77,69,68,71.33333333333333,Pass,71.33333333333333,24.333333333333332,math score,writing score,4,1,1,17.154312290331283,95.75392863285661,1,1,1,0.08492142734286778,0.7946042217340717
male,group C,some college,standard,none,53,44,42,46.333333333333336,Fail,46.333333333333336,34.333333333333336,math score,writing score,3,0,0,6.582928790348852,83.48533319741492,1,0,0,1.3302933360517017,0.5502518459774717
male,group D,high school,standard,none,88,78,75,80.33333333333333,Pass,80.33333333333333,46.33333333333333,math score,writing score,2,0,0,4.956947737047242,81.15360609662885,0,1,0,1.376927878067423,0.78565485767342
female,group C,some high school,free/reduced,completed,71,84,87,80.66666666666667,Pass,80.66666666666667,72.33333333333334,writing score,math score,1,1,1,13.940975544595975,90.85466620498508,0,0,1,2.1829066759002984,0.7431047758210758
female,group C,high school,free/reduced,none,33,41,43,39.0,Fail,39.0,28.0,writing score,math score,2,0,1,3.5091187723404507,82.1013267588817,1,0,0,1.857973464822366,0.4695330171838017
female,group E,associate's degree,standard,completed,82,85,86,84.33333333333333,Pass,84.33333333333333,4.333333333333334,writing score,math score,4,1,0,15.794235938027175,93.61283102453301,1,0,2,1.62774337950934,0.7996874229015741
male,group D,associate's degree,standard,none,52,55,49,52.0,Fail,52.0,9.0,reading score,writing score,4,0,0,11.219847219231456,85.33457604190069,1,0,1,1.7933084791619862,0.564134086352339
male,group D,some college,standard,completed,58,59,58,58.333333333333336,Fail,58.333333333333336,0.33333333333333337,reading score,math score,3,1,0,18.240488423700704,93.94401301412996,1,0,0,0.12111973971740071,0.7015884070653788
female,group C,some high school,free/reduced,none,0,17,10,9.0,Fail,9.0,73.0,reading score,math score,1,0,1,3.5082827453244914,81.11183102010322,1,0,2,4.377763379597935,0.11921074415422454
male,group E,bachelor's degree,free/reduced,completed,79,74,72,75.0,Pass,75.0,13.0,math score,writing score,5,1,1,21.321796263098257,94.36728972566353,0,0,3,2.1126542054867294,0.7073503346445461
male,group A,some high school,free/reduced,none,39,39,34,37.333333333333336,Fail,37.333333333333336,8.333333333333332,math score,writing score,1,0,1,1.9383569012855657,80.75533637376324,1,0,0,2.384893272524735,0.4285231958804956
male,group A,associate's degree,free/reduced,none,62,61,55,59.333333333333336,Fail,59.333333333333336,14.333333333333334,math score,writing score,4,0,1,10.687996250673097,82.42349727285252,1,1,0,0.3515300545429497,0.6957572980446647
female,group C,associate's degree,standard,none,69,80,71,73.33333333333333,Pass,73.33333333333333,34.333333333333336,reading score,math score,4,0,0,4.417350689511305,83.41959073394622,1,0,0,0.8316081853210755,0.7670226666583106
female,group D,some high school,standard,none,59,58,59,58.66666666666666,Fail,58.666666666666664,0.33333333333333337,math score,reading score,1,0,0,3.5841418786980626,80.91317251720771,1,1,0,1.8817365496558458,0.6058763631805681
male,group B,some high school,standard,none,67,64,61,64.0,Pass,64.0,9.0,math score,writing score,1,0,0,2.357406395075346,81.17582292510407,0,0,0,2.376483541497919,0.6156581843569807
male,group D,some high school,free/reduced,none,45,37,37,39.66666666666666,Fail,39.666666666666664,21.333333333333336,math score,reading score,1,0,1,0.41384210386311804,81.15815982429757,1,1,0,1.8768368035140486,0.4731492206564448
female,group C,some college,standard,none,60,72,74,68.66666666666667,Pass,68.66666666666667,57.33333333333334,writing score,math score,3,0,0,8.106961018881476,81.71032441892378,1,0,3,4.365793511621525,0.5375439898370484
male,group B,associate's degree,free/reduced,none,61,58,56,58.333333333333336,Fail,58.333333333333336,6.333333333333333,math score,writing score,4,0,1,8.487345733476158,83.58103726172463,1,0,0,0.8283792547655073,0.6622024796150794
female,group C,associate's degree,standard,none,39,64,57,53.333333333333336,Fail,53.333333333333336,166.33333333333331,reading score,math score,4,0,0,9.619223165703024,82.72711546886944,0,0,0,0.8454576906226112,0.6262514142404598
female,group D,some college,free/reduced,completed,58,63,73,64.66666666666667,Pass,64.66666666666667,58.333333333333336,writing score,math score,3,1,1,18.117807827289223,91.97043811595042,0,0,1,1.1605912376809917,0.6880355640598003
male,group D,some college,standard,completed,63,55,63,60.333333333333336,Pass,60.333333333333336,21.333333333333336,math score,reading score,3,1,0,21.52776509557284,93.98190644921173,1,1,0,0.0,0.7223333333333333
female,group A,associate's degree,free/reduced,none,41,51,48,46.66666666666666,Fail,46.666666666666664,26.333333333333336,reading score,math score,4,0,1,8.242301373081947,82.16766086686503,1,0,2,2.8566467826626996,0.467585480002912
male,group C,some high school,free/reduced,none,61,57,56,58.0,Fail,58.0,7.0,math score,writing score,1,0,1,3.055819595311311,80.91918287590212,1,0,0,2.3816163424819576,0.573372348503418
male,group C,some high school,standard,none,49,49,41,46.333333333333336,Fail,46.333333333333336,21.333333333333336,math score,writing score,1,0,0,3.3804815142892197,80.66820365576652,1,1,0,1.8866359268846695,0.5192701929154151
male,group B,associate's degree,free/reduced,none,44,41,38,41.0,Fail,41.0,9.0,math score,writing score,4,0,1,6.696413977650325,85.5173208627139,1,0,0,0.789653582745722,0.5430257047672571
male,group E,some high school,standard,none,30,26,22,26.0,Fail,26.0,16.0,math score,writing score,1,0,0,3.3374802004412665,81.05704051327504,1,0,1,3.378859189734499,0.293837804822451
male,group A,bachelor's degree,standard,completed,80,78,81,79.66666666666667,Pass,79.66666666666667,2.3333333333333335,writing score,reading score,5,1,0,19.0355818338223,93.65690318188425,1,0,0,0.0,0.8576666666666666
female,group D,some high school,standard,completed,61,74,72,69.0,Pass,69.0,49.0,reading score,math score,1,1,0,14.29445517270716,91.00242728716637,1,0,1,2.1799514542566727,0.6616026797862337
female,group E,master's degree,standard,none,62,68,68,66.0,Pass,66.0,12.0,reading score,math score,6,0,0,13.100475961489066,87.3889181582187,1,0,0,0.0,0.762
female,group B,associate's degree,standard,none,47,49,50,48.66666666666666,Fail,48.666666666666664,2.333333333333333,writing score,math score,4,0,0,7.303223690040879,85.83247203567774,1,0,0,0.7833505592864451,0.5970433747352617
male,group B,high school,free/reduced,none,49,45,45,46.333333333333336,Fail,46.333333333333336,5.333333333333333,math score,reading score,2,0,1,5.2519490446106865,81.44089200849083,0,1,0,1.3711821598301834,0.5479748257146085
male,group A,some college,free/reduced,completed,50,47,54,50.333333333333336,Fail,50.333333333333336,12.333333333333332,writing score,reading score,3,1,1,17.529480696523418,94.15854531638803,0,0,2,2.1168290936722394,0.5344511764529314
male,group E,associate's degree,standard,none,72,64,63,66.33333333333333,Pass,66.33333333333333,24.333333333333332,math score,writing score,4,0,0,9.857315013984444,85.73721645666996,1,0,2,2.7852556708666008,0.60922778091694
male,group D,high school,free/reduced,none,42,39,34,38.333333333333336,Fail,38.333333333333336,16.333333333333336,math score,writing score,2,0,1,4.83139860273997,82.83284108906413,1,0,0,1.8433431782187173,0.4656810831499073
female,group C,some college,standard,none,73,80,82,78.33333333333333,Pass,78.33333333333333,22.333333333333332,writing score,math score,3,0,0,5.924350044872446,83.40624307058573,1,1,0,0.8318751385882854,0.8020078005422794
female,group C,some college,free/reduced,none,76,83,88,82.33333333333333,Pass,82.33333333333333,36.33333333333333,writing score,math score,3,0,1,7.537284983400452,83.38946196330413,0,1,0,0.8322107607339175,0.829989110387962
female,group D,associate's degree,standard,none,71,71,74,72.0,Pass,72.0,3.0,writing score,math score,4,0,0,8.329797999235556,83.61284253273529,1,0,0,0.8277431493452942,0.7579045697739695
female,group A,some college,standard,none,58,70,67,65.0,Pass,65.0,39.0,reading score,math score,3,0,0,5.658188372245933,83.75719364691136,1,1,0,0.8248561270617727,0.7090653425140838
female,group D,some high school,standard,none,73,86,82,80.33333333333333,Pass,80.33333333333333,44.333333333333336,reading score,math score,1,0,0,4.854292609928256,81.03129401835093,0,0,2,4.379374119632981,0.6184543784608048
female,group C,bachelor's degree,standard,none,65,72,74,70.33333333333333,Pass,70.33333333333333,22.333333333333332,writing score,math score,5,0,0,9.647741616067162,85.88719035614147,1,0,2,2.2822561928771705,0.6652388582175863
male,group C,high school,free/reduced,none,27,34,36,32.333333333333336,Fail,32.333333333333336,22.333333333333336,writing score,math score,2,0,1,5.263252123100987,81.85691580769759,1,0,0,1.8628616838460483,0.42259413496438303
male,group C,high school,standard,none,71,79,71,73.66666666666667,Pass,73.66666666666667,21.333333333333332,reading score,math score,2,0,0,6.349836687680382,82.46299292808628,1,0,0,1.8507401414382745,0.7126024937723836
male,group C,associate's degree,free/reduced,completed,43,45,50,46.0,Fail,46.0,13.0,writing score,math score,4,1,1,16.309734360638295,95.2978860704182,0,0,2,1.594042278591636,0.5332308393149723
female,group B,some college,standard,none,79,86,92,85.66666666666667,Pass,85.66666666666667,42.33333333333333,writing score,math score,3,0,0,8.638071903243638,81.93930876980845,0,1,1,1.8612138246038308,0.7960192344220052
male,group C,associate's degree,free/reduced,completed,78,81,82,80.33333333333333,Pass,80.33333333333333,4.333333333333334,writing score,math score,4,1,1,14.835772656983139,95.33171886229691,1,0,0,0.0,0.8623333333333332
male,group B,some high school,standard,completed,65,66,62,64.33333333333333,Pass,64.33333333333333,4.333333333333334,reading score,writing score,1,1,0,14.80203876652841,91.0402965317903,0,1,0,0.679194069364194,0.7125103167863841
female,group E,some college,standard,completed,63,72,70,68.33333333333333,Pass,68.33333333333333,22.333333333333332,reading score,math score,3,1,0,12.95295228452146,94.03399772727067,1,0,0,0.11932004545458653,0.7716886285910843
female,group D,some college,free/reduced,none,58,67,62,62.333333333333336,Pass,62.333333333333336,20.333333333333336,reading score,math score,3,0,1,6.320732746037658,82.79390511902304,0,0,0,1.3441218976195393,0.6614817598760273
female,group D,bachelor's degree,standard,none,65,67,62,64.66666666666667,Pass,64.66666666666667,6.333333333333334,reading score,writing score,5,0,0,11.184110847770011,84.39520242691518,1,0,0,0.31209595146169655,0.7352866410321349
male,group B,some college,standard,none,79,67,67,71.0,Pass,71.0,48.0,math score,reading score,3,0,0,8.373424690886996,84.24518219755167,0,0,0,1.3150963560489666,0.7237648033466546
male,group D,bachelor's degree,standard,completed,68,74,74,72.0,Pass,72.0,12.0,reading score,math score,5,1,0,10.516019354627549,93.755846337742,1,0,1,0.12488307324516001,0.7970455008975457
female,group D,associate's degree,standard,none,85,91,89,88.33333333333333,Pass,88.33333333333333,9.333333333333332,reading score,math score,4,0,0,11.307086328286761,85.37684930114457,1,0,0,0.7924630139771085,0.8742025862575233
male,group B,high school,standard,completed,60,44,47,50.333333333333336,Fail,50.333333333333336,72.33333333333333,math score,reading score,2,1,0,14.381290617816358,91.9680411450188,0,0,0,0.6606391770996239,0.6155436031897927
male,group C,some college,standard,completed,98,86,90,91.33333333333331,Pass,91.33333333333333,37.333333333333336,math score,reading score,3,1,0,16.65029090890693,93.04228632765378,1,0,0,0.13915427344692433,0.9315840984319026
female,group C,some college,standard,none,58,67,72,65.66666666666667,Pass,65.66666666666667,50.33333333333333,writing score,math score,3,0,0,6.582814062567667,82.42540484446845,1,1,1,1.851491903110631,0.6565606296050486
female,group D,master's degree,standard,none,87,100,100,95.66666666666669,Pass,95.66666666666667,56.33333333333334,reading score,math score,6,0,0,11.93770098053984,86.4382532037141,1,0,2,1.771234935925718,0.8710299863541211
male,group E,associate's degree,standard,completed,66,63,64,64.33333333333333,Pass,64.33333333333333,2.3333333333333335,math score,reading score,4,1,0,16.88071642492475,93.30084478510484,1,0,0,0.0,0.7503333333333333
female,group B,associate's degree,free/reduced,none,52,76,70,66.0,Pass,66.0,156.0,reading score,math score,4,0,1,6.423843602859405,82.1570776569666,1,0,0,0.8568584468606679,0.7142831946333941
female,group B,some high school,standard,none,70,64,72,68.66666666666667,Pass,68.66666666666667,17.333333333333332,writing score,reading score,1,0,0,5.060203108015736,80.77199860534435,1,1,3,4.884560027893113,0.5086548763804022
female,group D,associate's degree,free/reduced,completed,77,89,98,88.0,Pass,88.0,111.0,writing score,math score,4,1,1,13.236978765761032,92.02551617362636,1,1,0,0.0,0.9159999999999999
male,group C,high school,standard,none,62,55,49,55.333333333333336,Fail,55.333333333333336,42.333333333333336,math score,writing score,2,0,0,5.054639967107429,82.95670957411372,0,0,0,1.8408658085177256,0.5848190431224984
male,group A,associate's degree,standard,none,54,53,47,51.333333333333336,Fail,51.333333333333336,14.333333333333334,math score,writing score,4,0,0,9.781054636773229,85.86298883927898,0,0,0,0.7827402232144203,0.6157440298485193
female,group D,some college,standard,none,51,58,54,54.333333333333336,Fail,54.333333333333336,12.333333333333334,reading score,math score,3,0,0,6.2413353761774335,82.68546589241691,1,0,0,1.3462906821516616,0.605360984420314
female,group E,bachelor's degree,standard,completed,99,100,100,99.66666666666669,Pass,99.66666666666667,0.3333333333333333,reading score,math score,5,1,0,20.232149678716823,96.14185427169824,1,1,0,0.0,0.9976666666666667
male,group C,high school,standard,none,84,77,74,78.33333333333333,Pass,78.33333333333333,26.333333333333332,math score,writing score,2,0,0,4.851747435994641,81.69161219682086,1,0,2,3.8661677560635828,0.6330338576654098
female,group B,bachelor's degree,free/reduced,none,75,85,82,80.66666666666667,Pass,80.66666666666667,26.333333333333332,reading score,math score,5,0,1,15.279939047755668,85.85546578542989,1,0,1,1.2828906842914023,0.7932249421750147
female,group D,bachelor's degree,standard,none,78,82,79,79.66666666666667,Pass,79.66666666666667,4.333333333333333,reading score,math score,5,0,0,8.361603632807524,86.5271502152299,1,0,0,0.26945699569540205,0.8426611227925586
female,group D,some high school,standard,none,51,63,61,58.333333333333336,Fail,58.333333333333336,41.333333333333336,reading score,math score,1,0,0,1.0382158645621733,81.44675624469224,1,0,2,4.371064875106155,0.46491710436994743
female,group C,some college,standard,none,55,69,65,63.0,Pass,63.0,52.0,reading score,math score,3,0,0,7.8849538314112495,82.70063682754902,1,1,0,0.8459872634490195,0.6938885900109606
female,group C,bachelor's degree,standard,completed,79,92,89,86.66666666666667,Pass,86.66666666666667,46.333333333333336,reading score,math score,5,1,0,26.25849414809397,96.41648991478024,1,0,0,0.0,0.9066666666666667
male,group B,associate's degree,standard,completed,91,89,92,90.66666666666669,Pass,90.66666666666667,2.3333333333333335,writing score,reading score,4,1,0,19.339889989429306,93.06371380252847,1,0,0,0.0,0.9346666666666668
female,group C,some college,standard,completed,88,93,93,91.33333333333331,Pass,91.33333333333333,8.333333333333332,reading score,math score,3,1,0,20.24442357518158,94.47099691138095,0,0,1,1.1105800617723809,0.8774872573031779
male,group D,high school,free/reduced,none,63,57,56,58.66666666666666,Fail,58.666666666666664,14.333333333333336,math score,writing score,2,0,1,3.5941042580612486,81.0515391975287,1,1,0,1.378969216049426,0.6338745128052586
male,group E,some college,standard,none,83,80,73,78.66666666666667,Pass,78.66666666666667,26.333333333333332,math score,writing score,3,0,0,8.97261319126369,83.31058641950337,1,1,0,0.8337882716099327,0.8042345951627496
female,group B,high school,standard,none,87,95,86,89.33333333333333,Pass,89.33333333333333,24.333333333333332,reading score,writing score,2,0,0,4.400773722156522,82.31901196330266,1,0,1,2.853619760733947,0.7664207157217295
male,group B,some high school,standard,none,72,68,67,69.0,Pass,69.0,7.0,math score,writing score,1,0,0,2.470504917310672,81.18804555707413,1,0,1,3.3762390888585174,0.5949837132207378
male,group D,some college,standard,completed,65,77,74,72.0,Pass,72.0,39.0,reading score,math score,3,1,0,15.350312460434292,91.86116273636726,1,1,1,0.6627767452726547,0.7670912327799806
male,group D,master's degree,standard,none,82,82,74,79.33333333333333,Pass,79.33333333333333,21.333333333333332,math score,writing score,6,0,0,11.522966275662267,88.63117870083877,1,0,0,0.0,0.8553333333333333
female,group A,bachelor's degree,standard,none,51,49,51,50.333333333333336,Fail,50.333333333333336,1.3333333333333335,math score,reading score,5,0,0,11.040091751466635,83.40591639525042,1,0,0,0.33188167209499175,0.6338514788215164
male,group D,master's degree,standard,none,89,84,82,85.0,Pass,85.0,13.0,math score,writing score,6,0,0,12.402547385160545,86.73652041943905,1,0,0,0.0,0.895
male,group C,some high school,free/reduced,completed,53,37,40,43.333333333333336,Fail,43.333333333333336,72.33333333333333,math score,reading score,1,1,1,13.867702984423687,90.72267607912309,1,1,0,0.6855464784175382,0.5651565632959237
male,group E,some college,free/reduced,completed,87,74,70,77.0,Pass,77.0,79.0,math score,writing score,3,1,1,17.46882071210258,92.42164925106381,1,0,2,2.1515670149787236,0.7191833548317191
female,group C,some college,standard,completed,75,81,84,80.0,Pass,80.0,21.0,writing score,math score,3,1,0,18.719300447282713,93.13937562518437,1,1,0,0.0,0.8599999999999999
male,group D,bachelor's degree,free/reduced,completed,74,79,75,76.0,Pass,76.0,7.0,reading score,math score,5,1,1,16.696719232364746,94.58596709282288,1,0,0,0.0,0.8319999999999999
male,group C,bachelor's degree,standard,none,58,55,48,53.66666666666666,Fail,53.666666666666664,26.333333333333336,math score,writing score,5,0,0,11.336616147823992,83.30112800488253,1,0,1,1.3339774399023494,0.601380018625238
male,group B,some high school,standard,completed,51,54,41,48.66666666666666,Fail,48.666666666666664,46.333333333333336,reading score,writing score,1,1,0,12.630084955051833,90.67093640242085,1,0,0,1.186581271951583,0.5745882288420581
male,group E,high school,standard,none,70,55,56,60.333333333333336,Pass,60.333333333333336,70.33333333333334,math score,reading score,2,0,0,5.321412336358195,81.8362895763256,1,0,0,1.8632742084734881,0.618571162258181
female,group C,associate's degree,standard,none,59,66,67,64.0,Pass,64.0,19.0,writing score,math score,4,0,0,7.955693064045815,85.029131913102,1,0,1,1.7994173617379599,0.6477938943848638
